Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Establishment_Age
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,1999,Medium,Tier 1,Supermarket Type1,3735.138,25
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,2009,Medium,Tier 3,Supermarket Type2,443.4228,15
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,1999,Medium,Tier 1,Supermarket Type1,2097.27,25
FDX07,19.2,Regular,0.08340055660489883,Fruits and Vegetables,182.095,1998,Small,Tier 3,Grocery Store,732.38,26
NCD19,8.93,Low Fat,0.06072282399802762,Household,53.8614,1987,High,Tier 3,Supermarket Type1,994.7052,37
FDP36,10.395,Regular,0.06101449825,Baking Goods,51.4008,2009,Medium,Tier 3,Supermarket Type2,556.6088,15
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,1987,High,Tier 3,Supermarket Type1,343.5528,37
FDP10,12.999704684317718,Low Fat,0.127469857,Snack Foods,107.7622,1985,Medium,Tier 3,Supermarket Type3,4022.7636,39
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,2002,Small,Tier 2,Supermarket Type1,1076.5986,22
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,2007,Small,Tier 2,Supermarket Type1,4710.535,17
FDY07,11.8,Low Fat,0.06072282399802762,Fruits and Vegetables,45.5402,1999,Medium,Tier 1,Supermarket Type1,1516.0266,25
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,1997,Small,Tier 1,Supermarket Type1,2187.153,27
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,1999,Medium,Tier 1,Supermarket Type1,1589.2646,25
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,1997,Small,Tier 1,Supermarket Type1,2145.2076,27
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,1987,High,Tier 3,Supermarket Type1,1977.426,37
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,1997,Small,Tier 1,Supermarket Type1,1547.3192,27
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,2009,Medium,Tier 3,Supermarket Type2,1621.8888,15
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,1999,Medium,Tier 1,Supermarket Type1,718.3982,25
DRI11,11.409116022099449,Low Fat,0.034237682,Hard Drinks,113.2834,1985,Medium,Tier 3,Supermarket Type3,2303.668,39
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,2004,Small,Tier 2,Supermarket Type1,2748.4224,20
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,1987,High,Tier 3,Supermarket Type1,3775.086,37
FDW12,12.296461100569259,Regular,0.035399923,Baking Goods,144.5444,1985,Medium,Tier 3,Supermarket Type3,4064.0432,39
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,2004,Small,Tier 2,Supermarket Type1,1587.2672,20
FDC37,12.296461100569259,Low Fat,0.057556998,Baking Goods,107.6938,1985,Small,Tier 1,Grocery Store,214.3876,39
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,1997,Small,Tier 1,Supermarket Type1,4078.025,27
NCD06,13.0,Low Fat,0.099887103,Household,45.906,2007,Small,Tier 2,Supermarket Type1,838.908,17
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,2004,Small,Tier 2,Supermarket Type1,1065.28,20
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,1987,High,Tier 3,Supermarket Type1,308.9312,37
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,1998,Small,Tier 3,Grocery Store,178.4344,26
FDC14,12.33193820224719,Regular,0.072221801,Canned,43.6454,1985,Small,Tier 1,Grocery Store,125.8362,39
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,1998,Small,Tier 3,Grocery Store,163.7868,26
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,2009,Medium,Tier 3,Supermarket Type2,2741.7644,15
FDP33,18.7,Low Fat,0.06101449825,Snack Foods,256.6672,2009,Medium,Tier 3,Supermarket Type2,3068.0064,15
FDO23,17.85,Low Fat,0.06072282399802762,Breads,93.1436,2002,Small,Tier 2,Supermarket Type1,2174.5028,22
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,1997,Small,Tier 1,Supermarket Type1,2085.2856,27
NCX29,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,1999,Medium,Tier 1,Supermarket Type1,3791.0652,25
FDV20,13.22266369047619,Regular,0.059511812,Fruits and Vegetables,128.0678,1985,Medium,Tier 3,Supermarket Type3,2797.6916,39
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,2009,Medium,Tier 3,Supermarket Type2,1609.9044,15
